RANKING,DISTRICT,STATE,POPULATION,GROWTH,SEX-RATIO,LITERACY,STATE_POPULATION,POPULATION_RATIO,CUSTOMERS_LAKH,EST_CUSTOMERS_LAKH,EST_CUSTOMERS
527,Barnala,punjab,595527.0,13.02 %,876,67.82,27743338.0,0.021465585720074492,96.34554,2.0681134476168657,206811.34476168657
528,Narmada,gujarat,590297.0,14.75 %,961,72.31,54816245.0,0.010768650789560649,127.77764,1.3759927838741963,137599.27838741965
529,Porbandar,gujarat,585449.0,9.06 %,950,75.78,54816245.0,0.010680209853848982,127.77764,1.3646920098295678,136469.2009829568
530,Central Delhi,delhi,582320.0,-9.91 %,892,85.14,14056012.0,0.041428536059872456,56.89812,2.35720581615895,235720.58161589503
531,Solan,himachal pradesh,580320.0,15.93 %,880,83.68,6864602.0,0.08453804022432765,22.43595,1.8966912435710037,189669.12435710037
532,Jharsuguda,odisha,579505.0,13.69 %,953,78.86,41974218.0,0.013806213137788535,100.56142,1.3883723979586708,138837.2397958671
533,Gajapati,odisha,577817.0,11.37 %,1043,53.49,41974218.0,0.013765997975233273,100.56142,1.3843283041065828,138432.8304106583
534,Harda,madhya pradesh,570465.0,20.25 %,935,72.5,72626809.0,0.007854744106959181,175.03763,1.3748757927386017,137487.57927386017
535,Perambalur,tamil nadu,565223.0,14.50 %,1003,74.32,69424740.0,0.008141521307821966,237.56601,1.9341487324292463,193414.87324292463
536,Panchkula,haryana,561293.0,19.83 %,873,81.88,25351462.0,0.022140458802730984,82.60045,1.8288118603120405,182881.18603120404
537,Pulwama,jammu and kashmir,560440.0,27.00 %,912,63.48,12541302.0,0.04468754520064982,35.4213,1.5828909448157775,158289.09448157775
538,Udhampur,jammu and kashmir,554985.0,20.78 %,870,68.49,12541302.0,0.04425258238737892,35.4213,1.567483996518065,156748.39965180648
539,Kodagu,karnataka,554519.0,1.09 %,1019,82.61,55415190.0,0.010006624537423764,188.54621,1.886711131424254,188671.1131424254
540,Dantewada,chhattisgarh,533638.0,12.08 %,1020,42.12,25545198.0,0.020889953563875293,63.27871,1.3218893134819312,132188.93134819312
541,Khunti,jharkhand,531885.0,22.32 %,997,63.86,27389394.0,0.019419378172441493,66.23467,1.2862361048568653,128623.61048568653
542,Sirmaur,himachal pradesh,529855.0,15.54 %,918,78.8,6864602.0,0.0771865579388288,22.43595,1.7317537545876658,173175.3754587666
543,Una,himachal pradesh,521173.0,16.26 %,976,86.53,6864602.0,0.07592180872248676,22.43595,1.7033779044072765,170337.79044072767
544,Chamba,himachal pradesh,519080.0,12.63 %,986,72.17,6864602.0,0.07561691122078162,22.43595,1.6965372393038953,169653.72393038953
545,Imphal West,manipur,517992.0,16.56 %,1031,86.08,2855794.0,0.18138283083443693,7.05315,1.2793203132999087,127932.03132999087
546,Pithoragarh,uttarakhand,483439.0,4.58 %,1020,82.25,10086292.0,0.047930299856478474,32.27033,1.546726593367513,154672.6593367513
547,Chirang,assam,482162.0,11.34 %,969,63.55,28381808.0,0.016988417369323335,91.78502,1.5592822280116896,155928.22280116897
548,Senapati,manipur,479148.0,68.94 %,937,63.6,2855794.0,0.1677810094145446,7.05315,1.1833846265521952,118338.46265521953
549,Punch,jammu and kashmir,476835.0,27.97 %,893,66.74,12541302.0,0.03802117196444197,35.4213,1.3467593385040884,134675.93385040882
550,Lohardaga,jharkhand,461790.0,26.68 %,985,67.61,27389394.0,0.016860175876837583,66.23467,1.1167281853442979,111672.81853442978
551,Imphal East,manipur,456113.0,15.51 %,1017,81.95,2855794.0,0.15971495142856942,7.05315,1.1264935096684143,112649.35096684143
552,Hamirpur,himachal pradesh,454768.0,10.19 %,1095,88.15,6864602.0,0.06624826901836406,22.43595,1.486342851282565,148634.28512825648
553,Baudh,odisha,441162.0,18.16 %,991,71.61,41974218.0,0.010510308971092683,100.56142,1.0569315947718192,105693.15947718192
554,Kullu,himachal pradesh,437903.0,14.76 %,942,79.4,6864602.0,0.06379146234552273,22.43595,1.4312220596110306,143122.20596110306
555,Kulgam,jammu and kashmir,424483.0,7.73 %,951,59.23,12541302.0,0.033846804741644844,35.4213,1.1988978247952247,119889.78247952247
556,Thoubal,manipur,422168.0,15.94 %,1002,74.47,2855794.0,0.14782858987728106,7.05315,1.0426572186929448,104265.72186929449
557,Doda,jammu and kashmir,409936.0,28.00 %,919,64.68,12541302.0,0.032686877327409866,35.4213,1.1578116878773832,115781.16878773832
558,Aizawl,mizoram,400309.0,22.92 %,1009,97.89,1097206.0,0.3648439764273983,3.6581,1.3346357501690658,133463.57501690657
559,Jaintia Hills,meghalaya,395124.0,32.10 %,1013,61.64,2966889.0,0.13317788430911975,5.22903,0.6963911523889165,69639.11523889165
560,Bandipora,jammu and kashmir,392232.0,28.65 %,889,56.28,12541302.0,0.03127522166358804,35.4213,1.107809009112451,110780.9009112451
561,Chamoli,uttarakhand,391605.0,5.74 %,1019,82.65,10086292.0,0.038825467277766694,32.27033,1.252910641457733,125291.06414577329
562,West Khasi Hills,meghalaya,383461.0,29.53 %,980,77.87,2966889.0,0.1292468306026953,5.22903,0.6758355546264118,67583.55546264118
563,Bilaspur,himachal pradesh,381956.0,12.05 %,981,84.59,6864602.0,0.05564139042583969,22.43595,1.2483674535246179,124836.74535246179
564,Dimapur,nagaland,378811.0,127.29 %,919,84.79,1978502.0,0.19146354160875248,3.8637,0.739757685713737,73975.7685713737
565,Dhalai,tripura,378230.0,22.85 %,944,85.72,3673917.0,0.10295006664549036,8.46068,0.8710275698661674,87102.75698661673
566,Dadra and Nagar Haveli,dadra & nagar haveli and daman & diu,343709.0,55.88 %,774,76.24,586956.0,0.5855788168108002,1.71994,1.0071604301855677,100716.04301855677
567,Uttarkashi,uttarakhand,330086.0,11.89 %,958,75.81,10086292.0,0.032726199082874066,32.27033,1.0560852440500434,105608.52440500434
568,Samba,jammu and kashmir,318898.0,17.01 %,886,81.41,12541302.0,0.02542782240631794,35.4213,0.9006865258009097,90068.65258009097
569,East Garo Hills,meghalaya,317917.0,26.87 %,972,73.95,2966889.0,0.10715500310257647,5.22903,0.5603167258734655,56031.67258734655
570,Reasi,jammu and kashmir,314667.0,27.04 %,890,58.15,12541302.0,0.025090457115218182,35.4213,0.8887366086152778,88873.66086152778
571,Debagarh,odisha,312520.0,14.01 %,975,72.57,41974218.0,0.007445522868347422,100.56142,0.7487323522834898,74873.23522834897
572,Ganderbal,jammu and kashmir,297446.0,36.50 %,874,58.04,12541302.0,0.02371731419911585,35.4213,0.8400981014411423,84009.81014411422
573,Ramban,jammu and kashmir,283713.0,31.99 %,902,54.27,12541302.0,0.022622292326586187,35.4213,0.8013110031877073,80131.10031877072
574,East Sikkim,sikkim,283583.0,15.73 %,873,83.85,610577.0,0.46445083912430374,1.89068,0.8781279125155386,87812.79125155386
575,Churachandpur,manipur,274143.0,20.29 %,975,82.78,2855794.0,0.0959953694139003,7.05315,0.6770697397816509,67706.97397816509
576,Kohima,nagaland,267988.0,131.81 %,928,85.23,1978502.0,0.13544995152898506,3.8637,0.5233379777225396,52333.797772253965
577,Shupiyan,jammu and kashmir,266215.0,25.97 %,951,60.76,12541302.0,0.021227062389534992,35.4213,0.7518901450184359,75189.01450184359
578,Bageshwar,uttarakhand,259898.0,4.18 %,1090,80.01,10086292.0,0.025767447541673393,32.27033,0.8315240354274892,83152.40354274891
579,Champawat,uttarakhand,259648.0,15.63 %,980,79.83,10086292.0,0.025742661426022564,32.27033,0.8307241792960188,83072.41792960188
580,Ri Bhoi,meghalaya,258840.0,34.26 %,953,75.67,2966889.0,0.08724289988604225,5.22903,0.4561957407911115,45619.57407911115
581,Bijapur,chhattisgarh,255230.0,8.78 %,984,40.86,25545198.0,0.009991310304191026,63.27871,0.6322372272589157,63223.722725891574
582,Mon,nagaland,250260.0,80.36 %,899,56.99,1978502.0,0.12648963710928773,3.8637,0.488718010899155,48871.8010899155
583,Rudraprayag,uttarakhand,242285.0,6.53 %,1114,81.3,10086292.0,0.024021216121841407,32.27033,0.7751725712531424,77517.25712531424
584,South Andaman,andaman and nicobar islands,238142.0,14.23 %,871,89.13,380581.0,0.6257327612255998,1.29192,0.8083966688825769,80839.66688825769
585,Bishnupur,manipur,237399.0,13.93 %,999,75.85,2855794.0,0.08312889515140098,7.05315,0.5863205668371038,58632.056683710376
586,Kishtwar,jammu and kashmir,230696.0,20.88 %,920,56.2,12541302.0,0.01839490030620425,35.4213,0.6515712822161527,65157.12822161527
587,The Dangs,gujarat,228291.0,22.26 %,1006,75.16,54816245.0,0.004164659582209617,127.77764,0.5321503728181308,53215.037281813085
588,Dima Hasao,assam,214102.0,13.84 %,932,77.54,28381808.0,0.007543634993232284,91.78502,0.692392688726525,69239.26887265251
589,Karaikal,puducherry,200222.0,17.23 %,1047,87.05,1247953.0,0.16044033709602845,4.1183,0.6607414402625739,66074.14402625739
590,Tuensang,nagaland,196596.0,94.83 %,929,73.08,1978502.0,0.09936608605904872,3.8637,0.3839207467063465,38392.074670634654
591,Mokokchung,nagaland,194622.0,60.94 %,925,91.62,1978502.0,0.09836836151795651,3.8637,0.3800658383969286,38006.58383969286
592,Daman,dadra & nagar haveli and daman & diu,191173.0,67.71 %,534,88.07,586956.0,0.3257024376614261,1.71994,0.5601886506313932,56018.865063139325
593,Ukhrul,manipur,183998.0,30.70 %,943,81.35,2855794.0,0.06442971726952294,7.05315,0.4544324603595357,45443.24603595357
594,Papumpare,arunachal pradesh,176573.0,44.73 %,980,79.95,1383727.0,0.1276068183969815,3.33244,0.425242065898837,42524.2065898837
595,Wokha,nagaland,166343.0,98.81 %,968,87.69,1978502.0,0.08407522458910832,3.8637,0.32484144524493785,32484.144524493786
596,Phek,nagaland,163418.0,111.84 %,951,78.05,1978502.0,0.08259683336180605,3.8637,0.31912938506001004,31912.938506001003
597,Lunglei,mizoram,161428.0,17.64 %,947,88.86,1097206.0,0.14712642840086548,3.6581,0.5382031877332061,53820.31877332061
598,Changlang,arunachal pradesh,148226.0,18.18 %,926,59.8,1383727.0,0.10712084103294942,3.33244,0.35697377549184195,35697.377549184195
599,South Sikkim,sikkim,146850.0,11.65 %,915,81.42,610577.0,0.24051020591997405,1.89068,0.4547278361287765,45472.78361287765
600,Lohit,arunachal pradesh,145726.0,16.59 %,912,68.18,1383727.0,0.10531412626912678,3.33244,0.3509530069442889,35095.300694428886
601,Chandel,manipur,144182.0,21.85 %,933,71.11,2855794.0,0.050487535165351566,7.05315,0.35609615865149935,35609.615865149935
602,South Garo Hills,meghalaya,142334.0,40.95 %,945,71.72,2966889.0,0.04797415744235797,5.22903,0.2508583084908131,25085.830849081307
603,New Delhi,delhi,142004.0,-20.72 %,822,88.34,14056012.0,0.010102723304447947,56.89812,0.5748259629032758,57482.59629032758
604,Kargil,jammu and kashmir,140802.0,18.02 %,810,71.34,12541302.0,0.011227063984265748,35.4213,0.3976772015058724,39767.720150587236
605,Zunheboto,nagaland,140757.0,78.05 %,976,85.26,1978502.0,0.07114321845517467,3.8637,0.27487605314525837,27487.605314525837
606,Tamenglong,manipur,140651.0,26.15 %,943,70.05,2855794.0,0.04925110144499218,7.05315,0.34737540615674656,34737.540615674654
607,Narayanpur,chhattisgarh,139820.0,19.16 %,994,48.62,25545198.0,0.0054734357510166885,63.27871,0.3463519535922172,34635.19535922172
608,West Sikkim,sikkim,136435.0,10.69 %,942,77.39,610577.0,0.22345257027369195,1.89068,0.42247730556506385,42247.73055650639
609,Leh,jammu and kashmir,133487.0,13.87 %,690,77.2,12541302.0,0.010643791210832814,35.4213,0.37701692161627237,37701.69216162724
610,Champhai,mizoram,125745.0,16.01 %,984,95.91,1097206.0,0.11460473238389145,3.6581,0.4192355715335133,41923.55715335133
611,Lawngtlai,mizoram,117894.0,60.14 %,945,65.88,1097206.0,0.10744928481980594,3.6581,0.3930602287993321,39306.02287993321
612,West Siang,arunachal pradesh,112274.0,8.04 %,930,66.46,1383727.0,0.0811388373573689,3.33244,0.27039030716319046,27039.030716319045
613,Tirap,arunachal pradesh,111975.0,11.61 %,944,52.19,1383727.0,0.08092275427161572,3.33244,0.2696702232449031,26967.02232449031
