RANKING,DISTRICT,STATE,POPULATION,GROWTH,SEX-RATIO,LITERACY,STATE_POPULATION,POPULATION_RATIO,CUSTOMERS_LAKH,EST_CUSTOMERS_LAKH,EST_CUSTOMERS
1,Thane,maharashtra,11060148.0,36.01 %,886,84.53,100887656.0,0.10962835730864834,317.1192,34.76525696703271,3476525.6967032715
2,North Twenty Four Parganas,west bengal,10009781.0,12.04 %,955,84.06,82519780.0,0.12130159581133154,271.2819,32.90692738473006,3290692.738473006
3,Bangalore,karnataka,9621551.0,47.18 %,916,87.67,55415190.0,0.17362659949374892,188.54621,32.736637289734276,3273663.728973428
4,Pune,maharashtra,9429408.0,30.37 %,915,86.15,100887656.0,0.09346443731431325,317.1192,29.639367589565165,2963936.7589565166
5,Mumbai Suburban,maharashtra,9356962.0,8.29 %,860,89.91,100887656.0,0.09274635144660313,317.1192,29.411648773665625,2941164.8773665624
6,South Twenty Four Parganas,west bengal,8161961.0,18.17 %,956,77.51,82519780.0,0.09890914638890215,271.2819,26.832261159759515,2683226.1159759513
7,Barddhaman,west bengal,7717563.0,11.92 %,945,76.21,82519780.0,0.09352379514341895,271.2819,25.371312841717465,2537131.2841717466
8,Ahmadabad,gujarat,7214225.0,24.03 %,904,85.31,54816245.0,0.131607427688635,127.77764,16.81648651652444,1681648.651652444
9,Murshidabad,west bengal,7103807.0,21.09 %,958,66.59,82519780.0,0.08608611171769968,271.2819,23.353603950389836,2335360.395038984
10,Jaipur,rajasthan,6626178.0,26.19 %,910,75.51,68548437.0,0.09666417339318766,183.81359,17.768188735784303,1776818.8735784304
11,Nashik,maharashtra,6107187.0,22.30 %,934,82.31,100887656.0,0.06053453159819671,317.1192,19.19666223279486,1919666.2232794862
12,Surat,gujarat,6081322.0,42.24 %,787,85.53,54816245.0,0.1109401419232565,127.77764,14.175669516218777,1417566.9516218777
13,Allahabad,uttar pradesh,5954391.0,20.63 %,901,72.32,194121100.0,0.030673589836447454,483.43195,14.828593348133973,1482859.3348133974
14,Paschim Medinipur,west bengal,5913457.0,13.86 %,966,78.0,82519780.0,0.07166108537856014,271.2819,19.440355397558015,1944035.5397558014
15,Patna,bihar,5838465.0,23.73 %,897,70.68,89751364.0,0.06505154618040122,229.37885,14.921448853582325,1492144.8853582325
16,Hugli,west bengal,5519145.0,9.46 %,961,81.8,82519780.0,0.06688269164071935,271.2819,18.144063665408463,1814406.3665408464
17,Rangareddy,andhra pradesh,5296741.0,48.16 %,961,75.87,67459740.0,0.07851706810610298,159.52103,12.525123576865697,1252512.3576865697
18,Nadia,west bengal,5167600.0,12.22 %,947,74.97,82519780.0,0.06262256152403703,271.2819,16.98836747310766,1698836.7473107663
19,East Godavari,andhra pradesh,5154296.0,5.16 %,1006,70.99,67459740.0,0.07640551238412718,159.52103,12.188286033193723,1218828.6033193723
20,Purbi Champaran,bihar,5099371.0,29.43 %,902,55.79,89751364.0,0.056816640691945364,229.37885,13.032535702781631,1303253.570278163
21,Purba Medinipur,west bengal,5095875.0,15.36 %,938,87.02,82519780.0,0.06175337597846237,271.2819,16.752573166851633,1675257.3166851632
22,Guntur,andhra pradesh,4887813.0,9.47 %,1003,67.4,67459740.0,0.07245525998173133,159.52103,11.558137701203563,1155813.7701203562
23,Haora,west bengal,4850029.0,13.50 %,939,83.31,82519780.0,0.05877413875800445,271.2819,15.944360033135087,1594436.0033135088
24,Muzaffarpur,bihar,4801062.0,28.14 %,900,63.43,89751364.0,0.053492914046409365,229.37885,12.270143107114226,1227014.3107114227
25,Belgaum,karnataka,4779661.0,13.41 %,973,73.48,55415190.0,0.08625182012368811,188.54621,16.262453789923125,1626245.3789923126
26,Moradabad,uttar pradesh,4772006.0,25.22 %,906,56.77,194121100.0,0.02458262393938629,483.43195,11.884025827134195,1188402.5827134196
27,Ghaziabad,uttar pradesh,4681645.0,42.27 %,881,78.07,194121100.0,0.024117136158820447,483.43195,11.658994161674078,1165899.4161674078
28,Nagpur,maharashtra,4653570.0,14.40 %,951,88.39,100887656.0,0.04612625750765782,317.1192,14.627521879822442,1462752.1879822442
29,Chennai,tamil nadu,4646732.0,6.98 %,989,90.18,69424740.0,0.06693193233420824,237.56601,15.90075210622784,1590075.210622784
30,Azamgarh,uttar pradesh,4613913.0,17.11 %,1019,70.93,194121100.0,0.023768219941057413,483.43195,11.490316914134269,1149031.6914134268
31,Lucknow,uttar pradesh,4589838.0,25.82 %,917,77.29,194121100.0,0.023644199419846683,483.43195,11.43036143172535,1143036.143172535
32,Kanpur Nagar,uttar pradesh,4581268.0,9.92 %,862,79.65,194121100.0,0.02360005172029213,483.43195,11.409019023241678,1140901.9023241678
33,Ahmadnagar,maharashtra,4543159.0,12.44 %,939,79.05,100887656.0,0.04503186197526484,317.1192,14.280468044106405,1428046.8044106404
34,Krishna,andhra pradesh,4517398.0,7.87 %,992,73.74,67459740.0,0.0669643553325287,159.52103,10.682222935930971,1068222.293593097
35,Kolkata,west bengal,4496694.0,-1.67 %,908,86.31,82519780.0,0.05449231687239108,271.2819,14.78277925654431,1478277.925654431
36,Jaunpur,uttar pradesh,4494204.0,14.89 %,1024,71.55,194121100.0,0.023151548183067167,483.43195,11.192198083659116,1119219.8083659117
37,Madhubani,bihar,4487379.0,25.51 %,926,58.62,89751364.0,0.049997891954043173,229.37885,11.468458958842676,1146845.8958842678
38,Sitapur,uttar pradesh,4483992.0,23.88 %,888,61.12,194121100.0,0.02309894184609504,483.43195,11.166766499594324,1116676.6499594324
39,Bareilly,uttar pradesh,4448359.0,22.93 %,887,58.49,194121100.0,0.022915381171856125,483.43195,11.078027404903692,1107802.7404903693
40,Gorakhpur,uttar pradesh,4440895.0,17.81 %,950,70.83,194121100.0,0.02287693094671316,483.43195,11.059439337584887,1105943.9337584886
41,Agra,uttar pradesh,4418797.0,22.05 %,868,71.58,194121100.0,0.022763094789798738,483.43195,11.004407302267243,1100440.7302267242
42,Gaya,bihar,4391418.0,26.43 %,937,63.67,89751364.0,0.04892870486068602,229.37885,11.223210052933569,1122321.005293357
43,Solapur,maharashtra,4317756.0,12.16 %,938,77.02,100887656.0,0.04279766396792884,317.1192,13.57196095937842,1357196.0959378418
44,Visakhapatnam,andhra pradesh,4290589.0,11.96 %,1006,66.91,67459740.0,0.06360221667026882,159.52103,10.145891113524451,1014589.1113524451
45,Samastipur,bihar,4261566.0,25.53 %,911,61.86,89751364.0,0.04748190790727147,229.37885,10.891345431575836,1089134.5431575836
46,Jalgaon,maharashtra,4229917.0,14.86 %,925,78.2,100887656.0,0.041927002447157656,317.1192,13.295857474440677,1329585.7474440676
47,Chittoor,andhra pradesh,4174064.0,11.43 %,997,71.53,67459740.0,0.06187489011964766,159.52103,9.870346203023018,987034.6203023018
48,Vadodara,gujarat,4165626.0,14.38 %,934,78.92,54816245.0,0.07599254564043925,127.77764,9.710148139527616,971014.8139527616
49,Muzaffarnagar,uttar pradesh,4143512.0,16.94 %,889,69.12,194121100.0,0.02134498516647598,483.43195,10.318847801750557,1031884.7801750557
50,Malappuram,kerala,4112920.0,13.45 %,1098,93.57,30596127.0,0.13442616446192684,98.12904,13.191110469530999,1319111.0469531
51,Hardoi,uttar pradesh,4092845.0,20.44 %,868,64.57,194121100.0,0.02108397799105816,483.43195,10.192668593974329,1019266.8593974329
52,Anantapur,andhra pradesh,4081148.0,12.10 %,977,63.57,67459740.0,0.060497535270666626,159.52103,9.650629138838068,965062.9138838069
53,Raipur,chhattisgarh,4063872.0,34.70 %,984,75.56,25545198.0,0.1590855549446123,63.27871,10.066728696529188,1006672.8696529188
54,Kurnool,andhra pradesh,4053463.0,14.85 %,988,59.97,67459740.0,0.06008714234593848,159.52103,9.585162836780723,958516.2836780724
55,Mahbubnagar,andhra pradesh,4053028.0,15.34 %,977,55.04,67459740.0,0.060080694055447,159.52103,9.584134198839783,958413.4198839782
56,Kheri,uttar pradesh,4021243.0,25.38 %,894,60.56,194121100.0,0.020715125764278072,483.43195,10.014353642720188,1001435.3642720188
57,Kancheepuram,tamil nadu,3998252.0,38.95 %,986,84.49,69424740.0,0.05759116994892599,237.56601,13.681704455998252,1368170.4455998251
58,Maldah,west bengal,3988845.0,21.22 %,944,61.73,82519780.0,0.04833804695068261,271.2819,13.113237219070385,1311323.7219070385
59,Saran,bihar,3951862.0,21.64 %,954,65.96,89751364.0,0.04403121940297197,229.37885,10.099830470751398,1009983.0470751398
60,Hyderabad,andhra pradesh,3943323.0,2.97 %,954,83.25,67459740.0,0.058454464840807276,159.52103,9.324716439504362,932471.6439504363
61,Darbhanga,bihar,3937385.0,19.47 %,911,56.56,89751364.0,0.04386991823322039,229.37885,10.062831393930125,1006283.1393930125
62,West Godavari,andhra pradesh,3936966.0,3.51 %,1004,74.63,67459740.0,0.05836023085769379,159.52103,9.309684137457097,930968.4137457097
63,Vellore,tamil nadu,3936331.0,13.20 %,1007,79.17,69424740.0,0.05669925447326126,237.56601,13.469815655187329,1346981.5655187329
64,Pashchim Champaran,bihar,3935042.0,29.29 %,909,55.7,89751364.0,0.04384381278038293,229.37885,10.056843355179538,1005684.3355179538
65,Kolhapur,maharashtra,3876001.0,10.01 %,957,81.51,100887656.0,0.03841898160464745,317.1192,12.183396711280514,1218339.6711280514
66,Jalpaiguri,west bengal,3872846.0,13.87 %,953,73.25,82519780.0,0.046932335495804764,271.2819,12.73189314473936,1273189.3144739359
67,Rajkot,gujarat,3804558.0,20.02 %,927,80.96,54816245.0,0.0694056661487849,127.77764,8.868492223119624,886849.2223119624
68,Sultanpur,uttar pradesh,3797117.0,18.11 %,983,69.27,194121100.0,0.01956055781674429,483.43195,9.456198608436434,945619.8608436434
69,Karimnagar,andhra pradesh,3776269.0,8.15 %,1008,64.15,67459740.0,0.055978113760889084,159.52103,8.9296863645942,892968.6364594201
70,Thiruvallur,tamil nadu,3728104.0,35.33 %,987,84.03,69424740.0,0.05369993463425286,237.56601,12.757279208320263,1275727.9208320263
71,Aurangabad,maharashtra,3701282.0,27.76 %,923,79.02,100887656.0,0.036687164185874234,317.1192,11.634204156893087,1163420.4156893087
72,Jodhpur,rajasthan,3687165.0,27.74 %,916,65.94,68548437.0,0.05378919142970393,183.81359,9.887184379891112,988718.4379891112
73,Bijnor,uttar pradesh,3682713.0,17.60 %,917,68.48,194121100.0,0.018971214360520315,483.43195,9.171291152174339,917129.1152174339
74,Budaun,uttar pradesh,3681896.0,19.95 %,871,51.29,194121100.0,0.018967005647505603,483.43195,9.169256525834646,916925.6525834646
75,Varanasi,uttar pradesh,3676841.0,17.15 %,913,75.6,194121100.0,0.01894096520161899,483.43195,9.15666774230081,915666.774230081
76,Alwar,rajasthan,3674179.0,22.78 %,895,70.72,68548437.0,0.05359974874408879,183.81359,9.852362239748953,985236.2239748952
77,Aligarh,uttar pradesh,3673889.0,22.78 %,882,67.52,194121100.0,0.018925758199392028,483.43195,9.149316191560576,914931.6191560576
78,North West Delhi,delhi,3656539.0,27.81 %,865,84.45,14056012.0,0.2601405718777133,56.89812,14.801509475566755,1480150.9475566754
79,Ghazipur,uttar pradesh,3620268.0,19.18 %,952,71.78,194121100.0,0.018649533718900213,483.43195,9.015780452318682,901578.0452318682
80,Bankura,west bengal,3596674.0,12.65 %,957,70.26,82519780.0,0.04358559850741241,271.2819,11.823983975728002,1182398.3975728
81,Kushinagar,uttar pradesh,3564544.0,23.20 %,961,65.25,194121100.0,0.018362475794748742,483.43195,8.877007480283183,887700.7480283183
82,Ganjam,odisha,3529031.0,11.66 %,983,71.09,41974218.0,0.08407615836940667,100.56142,8.45481787377242,845481.787377242
83,Warangal,andhra pradesh,3512576.0,8.21 %,997,65.11,67459740.0,0.05206921935957654,159.52103,8.30613550353559,830613.550353559
84,Birbhum,west bengal,3502404.0,16.15 %,956,70.68,82519780.0,0.04244320573806668,271.2819,11.514073494713632,1151407.3494713632
85,Bulandshahar,uttar pradesh,3499171.0,20.12 %,896,68.88,194121100.0,0.018025711785066127,483.43195,8.714204998392498,871420.4998392498
86,Ludhiana,punjab,3498739.0,15.36 %,873,82.2,27743338.0,0.12611096040425993,96.34554,12.15022858006704,1215022.858006704
87,Vaishali,bihar,3495021.0,28.57 %,895,66.6,89751364.0,0.0389411463429124,229.37885,8.932275365818953,893227.5365818953
88,Nalgonda,andhra pradesh,3488809.0,7.41 %,983,64.2,67459740.0,0.051716905520240664,159.52103,8.249934037001477,824993.4037001478
89,Bahraich,uttar pradesh,3487731.0,46.48 %,892,49.36,194121100.0,0.017966779500013137,483.43195,8.685715248911375,868571.5248911375
90,Salem,tamil nadu,3482056.0,15.44 %,954,72.86,69424740.0,0.05015583781804584,237.56601,11.915322268640256,1191532.2268640257
91,Saharanpur,uttar pradesh,3466382.0,19.66 %,890,70.49,194121100.0,0.01785680175931416,483.43195,8.632548495268674,863254.8495268674
92,Viluppuram,tamil nadu,3458873.0,16.84 %,987,71.88,69424740.0,0.049821907867425935,237.56601,11.835991862651989,1183599.186265199
93,Coimbatore,tamil nadu,3458045.0,18.56 %,1000,83.98,69424740.0,0.04980998128332926,237.56601,11.833158511655212,1183315.8511655212
94,Meerut,uttar pradesh,3443689.0,14.89 %,886,72.84,194121100.0,0.01773990050540616,483.43195,8.576034694134485,857603.4694134485
95,Gonda,uttar pradesh,3433919.0,24.17 %,921,58.71,194121100.0,0.017689571097629263,483.43195,8.551703850390554,855170.3850390554
96,Sitamarhi,bihar,3423574.0,27.62 %,899,52.05,89751364.0,0.03814509158880304,229.37885,8.749677241784314,874967.7241784313
97,Rae Bareli,uttar pradesh,3405559.0,18.56 %,943,67.25,194121100.0,0.017543476726641256,483.43195,8.4810771637398,848107.7163739799
98,Prakasam,andhra pradesh,3397448.0,11.05 %,981,63.08,67459740.0,0.050362601456809646,159.52103,8.033894057869775,803389.4057869775
99,Nanded,maharashtra,3361292.0,16.86 %,943,75.45,100887656.0,0.03331717806983245,317.1192,10.565516855762809,1056551.6855762808
100,Durg,chhattisgarh,3343872.0,18.98 %,988,79.06,25545198.0,0.13090021850682074,63.27871,8.283196965829742,828319.6965829742
101,Siwan,bihar,3330464.0,22.70 %,988,69.45,89751364.0,0.03710767002939365,229.37885,8.511714677521782,851171.4677521782
102,Nagaur,rajasthan,3307743.0,19.20 %,950,62.8,68548437.0,0.04825409804748721,183.81359,8.869758994320614,886975.8994320615
103,Thiruvananthapuram,kerala,3301427.0,2.07 %,1087,93.02,30596127.0,0.10790342843066379,98.12904,10.588459844609744,1058845.9844609743
104,Ernakulam,kerala,3282388.0,5.69 %,1027,95.89,30596127.0,0.10728116012853522,98.12904,10.527397253499439,1052739.7253499439
105,Indore,madhya pradesh,3276697.0,32.88 %,928,80.87,72626809.0,0.04511690717404368,175.03763,7.897156504674603,789715.6504674603
106,Purnia,bihar,3264619.0,28.33 %,921,51.08,89751364.0,0.03637403215398487,229.37885,8.343433665344072,834343.3665344073
