state,district,daily_cylinders,annual_cylinders,district_share
gujarat,Gandhinagar,6878.856676726808,2510782.6870052847,0.02538942607250825
karnataka,Koppal,9659.96027009923,3525885.498586219,0.02508193150650571
rajasthan,Dungarpur,5996.477063078531,2188714.1280236635,0.020256508547379426
punjab,Bathinda,9692.855810931806,3537892.370990109,0.05004895229261886
madhya pradesh,Barwani,4197.261049449857,1532000.2830491979,0.0190822234803129
odisha,Koraput,3976.227380090309,1451322.9937329628,0.03286891491343567
uttar pradesh,Auraiya,5179.470169903757,1890506.6120148713,0.007106620557991893
madhya pradesh,Seoni,4176.818087836423,1524538.6020602945,0.01898928259397986
bihar,Munger,4492.197445854303,1639652.0677368206,0.015239489842182234
tamil nadu,Ramanathapuram,8908.567371338679,3251627.0905386177,0.01949513962889886
gujarat,Patan,6641.518716068742,2424154.331365091,0.024513426631101783
madhya pradesh,Mandsaur,4059.5512028479593,1481736.189039505,0.018456146131933183
tamil nadu,Sivaganga,8814.153124454258,3217165.8904258045,0.019288527403919696
rajasthan,Sawai Madhopur,5767.591662445188,2105170.956792494,0.019483318051438575
haryana,Jind,9964.623346940463,3637087.5216332693,0.05262623512600575
madhya pradesh,Raisen,4032.8572378611734,1471992.8918193283,0.01833478598791254
gujarat,Navsari,6572.01609413214,2398785.874358231,0.0242568968377896
assam,Tinsukia,4596.989723573579,1677901.2491043564,0.04678803408154971
assam,Dibrugarh,4591.471656252678,1675887.1545322274,0.04673187134519408
jharkhand,Garhwa,3661.755548007189,1336540.775022624,0.04829548255065447
maharashtra,Gondiya,8504.407974869335,3104108.910827307,0.013108709751369385
jharkhand,Dumka,3658.0405983665632,1335184.8184037956,0.0482464854826653
jharkhand,Godda,3636.1965837509306,1327211.7530690897,0.04795838126246971
madhya pradesh,Sehore,3971.4829242172873,1449591.26733931,0.018055756793610468
madhya pradesh,East Nimar,3967.6335902601513,1448186.2604449552,0.018038256368939465
kerala,Kasaragod,9340.247932204147,3409190.495254514,0.04273008149037948
uttar pradesh,Baghpat,4892.263931914327,1785676.3351487294,0.00671255211308817
maharashtra,Wardha,8364.653479416507,3053098.519987025,0.012893291920668671
haryana,Sirsa,9673.61331250148,3530868.85906304,0.05108932179138229
madhya pradesh,Katni,3913.0614828064545,1428267.441224356,0.017790152394000957
odisha,Anugul,3671.230349164691,1339999.0774451122,0.03034770058134258
tamil nadu,Thiruvarur,8321.650920823493,3037402.586100575,0.018210755992748406
madhya pradesh,Damoh,3828.797109329335,1397510.9449052073,0.017407056945046285
karnataka,Chikkaballapura,8722.987491972646,3183890.434570016,0.022649096754878938
assam,Kamrup Metropolitan,4340.849623736213,1584410.1126637177,0.044181047239837574
tamil nadu,Theni,8200.684312538368,2993249.774076504,0.01794603768051562
madhya pradesh,Guna,3760.048186570086,1372417.5880980813,0.01709450018656334
madhya pradesh,Hoshangabad,3759.536355383023,1372230.7697148034,0.017092173222149967
jammu and kashmir,Srinagar,4137.195938121153,1510076.5174142206,0.0986204622135724
assam,Karimganj,4253.432913581017,1552503.013457071,0.04329132238509964
rajasthan,Baran,5280.480897557015,1927375.5276083103,0.01783782466112247
uttar pradesh,Lalitpur,4586.439241773969,1674050.3232474986,0.006292937758955621
odisha,Nabarangapur,3518.841352035515,1284377.093492963,0.02908799873293649
haryana,Yamunanagar,9068.75340363905,3310094.992328253,0.047894870915136965
chhattisgarh,Korba,3008.3288485561734,1098040.0297230033,0.04723549216569001
rajasthan,Dhaulpur,5210.352597696921,1901778.6981593762,0.01760092648064317
haryana,Panipat,9003.266249622135,3286192.1811120794,0.047549013149616376
maharashtra,Bhandara,7718.772030777007,2817351.7912336076,0.01189772909383483
kerala,Pathanamthitta,8554.641902282388,3122444.294333072,0.039136064509079874
maharashtra,Washim,7698.361559670061,2809901.9692795724,0.011866268356953404
odisha,Dhenkanal,3437.754554225031,1254780.4122921363,0.028417706316768074
madhya pradesh,Singrauli,3568.5021791325744,1302503.2953833896,0.016223664735153104
karnataka,Udupi,8182.672731930109,2986675.54715449,0.021246178168837823
maharashtra,Hingoli,7570.940801956083,2763393.3927139705,0.011669861771790989
karnataka,Yadgir,8161.197195759247,2978836.9764521252,0.02119041728450268
rajasthan,Rajsamand,4994.776847914545,1823093.549488809,0.01687269689314725
assam,Sivasagar,3984.6746485085937,1454406.2467056366,0.04055590820711634
jharkhand,Sahibganj,3185.021209512655,1162532.741472119,0.042007756725103165
karnataka,Chikmagalur,7908.842270722334,2886727.428813652,0.020535181779580653
odisha,Jagatsinghapur,3276.8202450109766,1196039.3894290065,0.027087365868257513
haryana,Ambala,8427.512572420737,3076042.0889335694,0.04450828121865319
madhya pradesh,Sidhi,3413.3173860848224,1245860.8459209602,0.015518140140233892
bihar,Jehanabad,3695.9040364292414,1349004.973296673,0.012538115855264325
punjab,Tarn Taran,7815.763542626992,2852753.693058852,0.04035660741328242
uttar pradesh,Shrawasti,4195.106334707336,1531213.8121681777,0.005755999734186547
rajasthan,Bundi,4797.459762570157,1751072.8133381074,0.01620614631957254
kerala,Idukki,7922.816414852788,2891827.9914212674,0.03624556794394271
uttar pradesh,Hamirpur,4146.012791588654,1513294.6689298588,0.0056886397202570976
assam,Jorhat,3781.1431240010447,1380117.2402603813,0.038484369987986676
madhya pradesh,Narsimhapur,3306.774727329419,1206972.775475238,0.015033759778706508
haryana,Mewat,8135.5763966612585,2969485.384781359,0.04296647664738231
karnataka,Ramanagara,7524.3328730999965,2746381.4986814987,0.01953680931167068
jammu and kashmir,Anantnag,3608.227298101664,1317002.9638071074,0.08601116534790408
haryana,Kaithal,8023.849396554161,2928705.029742269,0.042376412058602375
maharashtra,Gadchiroli,6899.575201773793,2518344.9486474344,0.010635017627924669
assam,Golaghat,3693.3248480935104,1348063.5695541312,0.03759055800814381
madhya pradesh,Shahdol,3228.66444244467,1178462.5214923045,0.014678642978793134
jharkhand,Saraikela Kharsawan,2948.3080510032964,1076132.4386162031,0.038885708825832366
karnataka,Gadag,7398.773961623355,2700552.4959925245,0.01921079761704327
tamil nadu,Karur,7006.644235132145,2557425.145823233,0.015333049860899731
haryana,Rohtak,7926.007047372867,2892992.5722910967,0.04185967657407687
chandigarh,Chandigarh,10627.50684931507,3879040.0000000005,1.0
madhya pradesh,Mandla,3194.871469750939,1166128.0864590928,0.014525008251429581
jharkhand,Chatra,2886.936640025148,1053731.873609179,0.03807627142097412
haryana,Palwal,7787.8626129868235,2842569.8537401906,0.04113009340447505
assam,Lakhimpur,3607.642486575561,1316789.5076000798,0.0367184853057987
